time,x=0.000000,x=0.100000,x=0.200000,x=0.300000,x=0.400000,x=0.500000,x=0.600000,x=0.700000,x=0.800000,x=0.900000,x=1.000000,x=1.100000,x=1.200000,x=1.300000,x=1.400000,x=1.500000,x=1.600000,x=1.700000,x=1.800000,x=1.900000,x=2.000000,x=2.100000,x=2.200000,x=2.300000,x=2.400000,x=2.500000,x=2.600000,x=2.700000,x=2.800000,x=2.900000,x=3.000000,x=3.100000,x=3.200000,x=3.300000,x=3.400000,x=3.500000,x=3.600000,x=3.700000,x=3.800000,x=3.900000,x=4.000000,x=4.100000,x=4.200000,x=4.300000,x=4.400000,x=4.500000,x=4.600000,x=4.700000,x=4.800000,x=4.900000,x=5.000000,x=5.100000,x=5.200000,x=5.300000,x=5.400000,x=5.500000,x=5.600000,x=5.700000,x=5.800000,x=5.900000,x=6.000000,x=6.100000,x=6.200000
0.00000000,0.00000000,0.09983342,0.19866933,0.29552021,0.38941834,0.47942554,0.56464247,0.64421769,0.71735609,0.78332691,0.84147098,0.89120736,0.93203909,0.96355819,0.98544973,0.99749499,0.99957360,0.99166481,0.97384763,0.94630009,0.90929743,0.86320937,0.80849640,0.74570521,0.67546318,0.59847214,0.51550137,0.42737988,0.33498815,0.23924933,0.14112001,0.04158066,-0.05837414,-0.15774569,-0.25554110,-0.35078323,-0.44252044,-0.52983614,-0.61185789,-0.68776616,-0.75680250,-0.81827711,-0.87157577,-0.91616594,-0.95160207,-0.97753012,-0.99369100,-0.99992326,-0.99616461,-0.98245261,-0.95892427,-0.92581468,-0.88345466,-0.83226744,-0.77276449,-0.70554033,-0.63126664,-0.55068554,-0.46460218,-0.37387666,-0.27941550,-0.18216250,-0.08308940
0.05000000,0.05247748,0.15469208,0.25833812,0.35990251,0.45837046,0.55275810,0.64212235,0.72557031,0.80226820,0.87144967,0.93242348,0.98458042,1.02739933,1.06045239,1.08340935,1.09604082,1.09822060,1.08992691,1.07124260,1.04235438,1.00355089,0.95521982,0.89784410,0.83199701,0.75833645,0.67759844,0.59058966,0.49817950,0.40129127,0.30089306,0.19798800,0.09360430,-0.01121508,-0.11542282,-0.21797771,-0.31785506,-0.41405692,-0.50562207,-0.59163564,-0.67123819,-0.74363437,-0.80810082,-0.86399340,-0.91075367,-0.94791441,-0.97510431,-0.99205171,-0.99858727,-0.99464570,-0.98026637,-0.95559296,-0.92087200,-0.87645041,-0.82277203,-0.76037320,-0.68987739,-0.61198896,-0.52748617,-0.43721332,-0.34207240,-0.24301402,-0.14102794,-0.03927026
0.10000000,0.10520594,0.21069395,0.31748743,0.42351209,0.52630432,0.62483706,0.71812580,0.80523843,0.88530456,0.95752418,1.02117570,1.07562314,1.12032247,1.15482709,1.17879221,1.19197840,1.19425391,1.18559599,1.16609115,1.13593429,1.09542671,1.04497316,0.98507774,0.91633893,0.83944352,0.75515984,0.66433002,0.56786160,0.46671846,0.36191119,0.25448699,0.14551921,0.03609662,-0.07268748,-0.17974613,-0.28400966,-0.38443629,-0.48002259,-0.56981349,-0.65291185,-0.72848735,-0.79578489,-0.85413203,-0.90294581,-0.94173848,-0.97012245,-0.98781410,-0.99463668,-0.99052201,-0.97551121,-0.94975425,-0.91350849,-0.86713609,-0.81110039,-0.74596128,-0.67236959,-0.59106065,-0.50284686,-0.40860962,-0.30929052,-0.20588193,-0.10073948,0.00441507
0.15000000,0.15772529,0.26728105,0.37656164,0.48631500,0.59317522,0.69560737,0.79258799,0.88314809,0.96638281,1.04146051,1.10763102,1.16423321,1.21070151,1.24657163,1.27148518,1.28519321,1.28755876,1.27855821,1.25828148,1.22693116,1.18482050,1.13237026,1.07010450,0.99864536,0.91870684,0.83108765,0.73666326,0.63637712,0.53123126,0.42227627,0.31060078,0.19732062,0.08356765,-0.02952154,-0.14081702,-0.24920676,-0.35360775,-0.45297685,-0.54632122,-0.63270817,-0.71127456,-0.78123538,-0.84189160,-0.89263717,-0.93296505,-0.96247231,-0.98086411,-0.98795669,-0.98367918,-0.96807432,-0.94129804,-0.90361787,-0.85541029,-0.79715699,-0.72944001,-0.65293595,-0.56840922,-0.47670439,-0.37873773,-0.27548810,-0.16841792,-0.06075857,0.04842783
0.20000000,0.20972551,0.32386110,0.43573579,0.54846197,0.65894110,0.76501725,0.86544794,0.95922970,1.04542548,1.12317406,1.19169858,1.25031437,1.29843578,1.33558197,1.36138181,1.37557750,1.37802721,1.36870647,1.34770839,1.31524279,1.27163406,1.21731791,1.15283705,1.07883577,0.99605344,0.90531722,0.80753370,0.70367990,0.59479350,0.48196245,0.36631413,0.24900405,0.13120434,0.01409201,-0.10116279,-0.21340846,-0.32152350,-0.42442765,-0.52109272,-0.61055287,-0.69191424,-0.76436391,-0.82717796,-0.87972880,-0.92149134,-0.95204831,-0.97109440,-0.97843929,-0.97400961,-0.95784962,-0.93012077,-0.89110013,-0.84117758,-0.78085193,-0.71072593,-0.63150025,-0.54396650,-0.44899929,-0.34754748,-0.24079445,-0.13077690,-0.02052029,0.09309821
0.25000000,0.26107089,0.37993600,0.49492998,0.61013301,0.72363021,0.83301832,0.93664867,1.03341825,1.12236017,1.20258576,1.27329343,1.33377669,1.38343121,1.42176086,1.44838266,1.46303062,1.46555837,1.45594067,1.43427361,1.40077368,1.35577560,1.29972897,1.23319380,1.15683489,1.07141517,0.97778815,0.87688931,0.76972680,0.65737135,0.54094558,0.42161278,0.30056528,0.17901255,0.05816910,-0.06075763,-0.17657938,-0.28813889,-0.39432149,-0.49406625,-0.58637654,-0.67033004,-0.74508790,-0.80990317,-0.86412824,-0.90722130,-0.93875180,-0.95840468,-0.96598358,-0.96141277,-0.94473793,-0.91612566,-0.87586185,-0.82434880,-0.76210121,-0.68974105,-0.60799129,-0.51766878,-0.41967597,-0.31505459,-0.20536759,-0.09288069,0.02044811,0.13859405
0.30000000,0.31178200,0.43517819,0.55388530,0.67142177,0.78733486,0.89959116,1.00613732,1.10565344,1.19711974,1.27962231,1.35233682,1.41453673,1.46560056,1.50501809,1.53239548,1.54745918,1.55005868,1.54016801,1.51788599,1.48343525,1.43716002,1.37952267,1.31109908,1.23257292,1.14472880,1.04844443,0.94468185,0.83447783,0.71893348,0.59920328,0.47648354,0.35200044,0.22699777,0.10272451,-0.01957764,-0.13868667,-0.25341249,-0.36260880,-0.46518454,-0.56011481,-0.64645109,-0.72333075,-0.78998563,-0.84574973,-0.89006587,-0.92249127,-0.94270195,-0.95049595,-0.94579542,-0.92864731,-0.89922296,-0.85781637,-0.80484126,-0.74082695,-0.66641303,-0.58234304,-0.48945696,-0.38870650,-0.28133530,-0.16928710,-0.05448580,0.06245787,0.18493134
0.35000000,0.36198964,0.48945152,0.61226693,0.73228180,0.85016069,0.96476204,1.07387484,1.17587984,1.26964245,1.35421630,1.42875635,1.49251783,1.54486364,1.58527077,1.61333548,1.62877737,1.63144213,1.62130315,1.59846172,1.56314608,1.51570909,1.45662471,1.38648331,1.30598571,1.21593621,1.11723457,1.01086697,0.89789621,0.77945105,0.65671495,0.53091427,0.40330594,0.27516500,0.14777179,0.02239918,-0.09970016,-0.21730624,-0.32924398,-0.43439494,-0.53170849,-0.62021230,-0.69902207,-0.76735035,-0.82451444,-0.86994317,-0.90318263,-0.92390071,-0.93189038,-0.92707184,-0.90949321,-0.87933015,-0.83688402,-0.78257895,-0.71695751,-0.64067539,-0.55449477,-0.45928558,-0.35610628,-0.24647970,-0.13250391,-0.01527719,0.10564095,0.23201341
0.40000000,0.41187793,0.54278604,0.66976228,0.79253374,0.91216620,1.02859516,1.13984947,1.24405060,1.33987217,1.42630642,1.50248616,1.56765022,1.62114750,1.66244349,1.69112555,1.70690712,1.70963050,1.69926848,1.67592461,1.63983211,1.59135163,1.53096755,1.45928322,1.37701488,1.28498454,1.18411171,1.07540431,0.95994849,0.83889784,0.71346188,0.58489390,0.45447853,0.32351883,0.19332330,0.06519282,-0.05959238,-0.17978549,-0.29418557,-0.40164957,-0.50110376,-0.59155442,-0.67209780,-0.74192913,-0.80035068,-0.84677872,-0.88074936,-0.90192318,-0.91008861,-0.90516407,-0.88719876,-0.85637219,-0.81299236,-0.75749271,-0.69042778,-0.61246765,-0.52439460,-0.42713535,-0.32192705,-0.21053586,-0.09484643,0.02504168,0.14997479,0.27968334
0.45000000,0.46163144,0.59532406,0.72615106,0.85191626,0.97332070,1.09116236,1.20408353,1.31013530,1.40775982,1.49583762,1.57346710,1.63987127,1.69438664,1.73646851,1.76569641,1.78177830,1.78455351,1.77399430,1.75020618,1.71342683,1.66402373,1.60249051,1.52944198,1.44560803,1.35182629,1.24903381,1.13825764,1.02060462,0.89725032,0.76942723,0.63841254,0.50551529,0.37206335,0.23939013,0.10882125,-0.01833869,-0.14081913,-0.25739631,-0.36690542,-0.46825228,-0.56042427,-0.64250043,-0.71366069,-0.77319403,-0.82050563,-0.85512275,-0.87669952,-0.88502034,-0.88000208,-0.86169489,-0.83028167,-0.78607629,-0.72952046,-0.66117924,-0.58173673,-0.49200672,-0.39301963,-0.28622907,-0.17347061,-0.05606716,0.06668379,0.19533311,0.32777473
