time,x=0.000000,x=0.100000,x=0.200000,x=0.300000,x=0.400000,x=0.500000,x=0.600000,x=0.700000,x=0.800000,x=0.900000,x=1.000000,x=1.100000,x=1.200000,x=1.300000,x=1.400000,x=1.500000,x=1.600000,x=1.700000,x=1.800000,x=1.900000,x=2.000000,x=2.100000,x=2.200000,x=2.300000,x=2.400000,x=2.500000,x=2.600000,x=2.700000,x=2.800000,x=2.900000,x=3.000000,x=3.100000,x=3.200000,x=3.300000,x=3.400000,x=3.500000,x=3.600000,x=3.700000,x=3.800000,x=3.900000,x=4.000000,x=4.100000,x=4.200000,x=4.300000,x=4.400000,x=4.500000,x=4.600000,x=4.700000,x=4.800000,x=4.900000,x=5.000000,x=5.100000,x=5.200000,x=5.300000,x=5.400000,x=5.500000,x=5.600000,x=5.700000,x=5.800000,x=5.900000,x=6.000000,x=6.100000,x=6.200000
0.50000000,0.40984888,0.40898646,0.40291276,0.39032980,0.37267664,0.35220169,0.32986497,0.30526818,0.27799287,0.24801957,0.21557775,0.18098244,0.14457882,0.10673061,0.06781599,0.02822377,-0.01165045,-0.05140827,-0.09065243,-0.12899082,-0.16604037,-0.20143091,-0.23480882,-0.26584059,-0.29421617,-0.31965204,-0.34189406,-0.36071998,-0.37594170,-0.38740714,-0.39500174,-0.39864961,-0.39831431,-0.39399918,-0.38574734,-0.37364124,-0.35780184,-0.33838740,-0.31559191,-0.28964313,-0.26080033,-0.22935170,-0.19561146,-0.15991674,-0.12262418,-0.08410640,-0.04474826,-0.00494301,0.03491163,0.07441744,0.11317970,0.15081111,0.18693566,0.22119288,0.25324892,0.28284857,0.30996801,0.33495707,0.35815874,0.37865182,0.39434466,0.40382151,0.40814418
0.55000000,0.34175136,0.34084995,0.33637442,0.32665652,0.31173688,0.29368622,0.27417637,0.25327305,0.23049722,0.20561613,0.17871759,0.15003734,0.11985815,0.08848138,0.05622054,0.02339796,-0.00965841,-0.04261828,-0.07515231,-0.10693545,-0.13765013,-0.16698945,-0.19466027,-0.22038611,-0.24390992,-0.26499666,-0.28343565,-0.29904264,-0.31166169,-0.32116673,-0.32746277,-0.33048691,-0.33020894,-0.32663163,-0.31979072,-0.30975457,-0.29662345,-0.28052858,-0.26163075,-0.24011879,-0.21620765,-0.19013623,-0.16216503,-0.13257354,-0.10165741,-0.06972555,-0.03709703,-0.00409784,0.02894230,0.06169325,0.09382779,0.12502482,0.15497283,0.18337609,0.20998149,0.23467282,0.25763310,0.27927929,0.29953566,0.31682464,0.32920479,0.33657669,0.34035395
0.60000000,0.27295281,0.27188302,0.26865379,0.26172075,0.24995397,0.23474228,0.21813847,0.20082850,0.18248693,0.16271234,0.14141342,0.11871838,0.09483877,0.07001164,0.04448497,0.01851383,-0.00764230,-0.03372207,-0.05946490,-0.08461358,-0.10891682,-0.13213181,-0.15402657,-0.17438236,-0.19299577,-0.20968084,-0.22427084,-0.23662000,-0.24660494,-0.25412587,-0.25910767,-0.26150055,-0.26128060,-0.25845002,-0.25303710,-0.24509591,-0.23470580,-0.22197059,-0.20701753,-0.18999601,-0.17107612,-0.15044689,-0.12831445,-0.10489993,-0.08043728,-0.05517093,-0.02935333,-0.00324245,0.02290084,0.04881530,0.07424203,0.09892701,0.12262506,0.14511352,0.16624639,0.18608183,0.20496935,0.22319480,0.24011588,0.25380193,0.26292899,0.26850232,0.27185226
0.65000000,0.20354810,0.20235781,0.20008731,0.19567170,0.18729113,0.17537503,0.16189849,0.14813759,0.13413341,0.11943440,0.10376243,0.08710415,0.06958308,0.05136743,0.03263855,0.01358357,-0.00560714,-0.02474183,-0.04362930,-0.06208084,-0.07991209,-0.09694489,-0.11300905,-0.12794405,-0.14160068,-0.15384249,-0.16454715,-0.17360771,-0.18093364,-0.18645174,-0.19010687,-0.19186253,-0.19170115,-0.18962436,-0.18565290,-0.17982647,-0.17220326,-0.16285946,-0.15188842,-0.13939976,-0.12551827,-0.11038264,-0.09414410,-0.07696490,-0.05901670,-0.04047882,-0.02153649,-0.00237898,0.01680231,0.03581571,0.05447128,0.07258320,0.08997689,0.10651847,0.12220096,0.13726482,0.15211698,0.16671382,0.17987028,0.18972582,0.19583568,0.19986278,0.20273507
0.70000000,0.13363936,0.13248964,0.13100398,0.12874948,0.12377554,0.11555359,0.10554001,0.09538230,0.08562072,0.07592351,0.06586876,0.05527541,0.04415425,0.03259524,0.02071081,0.00861946,-0.00355802,-0.01569994,-0.02768500,-0.03939343,-0.05070826,-0.06151643,-0.07170995,-0.08118697,-0.08985279,-0.09762083,-0.10441348,-0.11016286,-0.11481154,-0.11831305,-0.12063242,-0.12174647,-0.12164407,-0.12032624,-0.11780615,-0.11410898,-0.10927167,-0.10334256,-0.09638088,-0.08845620,-0.07964769,-0.07004336,-0.05973919,-0.04883812,-0.03744908,-0.02568586,-0.01366599,-0.00150958,0.01066191,0.02272689,0.03456503,0.04606089,0.05711929,0.06771822,0.07801453,0.08839191,0.09915728,0.10981235,0.11882789,0.12482247,0.12823692,0.13087096,0.13310799
0.75000000,0.06335100,0.06244430,0.06169305,0.06125283,0.05952039,0.05525148,0.04908761,0.04270295,0.03713225,0.03233565,0.02784686,0.02331682,0.01861658,0.01374197,0.00873149,0.00363389,-0.00150003,-0.00661895,-0.01167174,-0.01660791,-0.02137814,-0.02593477,-0.03023226,-0.03422768,-0.03788111,-0.04115605,-0.04401977,-0.04644366,-0.04840349,-0.04987970,-0.05085752,-0.05132720,-0.05128403,-0.05072844,-0.04966600,-0.04810730,-0.04606794,-0.04356828,-0.04063330,-0.03729232,-0.03357874,-0.02952964,-0.02518550,-0.02058971,-0.01578819,-0.01082892,-0.00576146,-0.00063643,0.00449497,0.00958155,0.01457374,0.01943113,0.02415277,0.02885391,0.03385617,0.03959487,0.04611650,0.05246934,0.05709663,0.05937289,0.06040861,0.06169400,0.06309952
0.80000000,-0.00716500,-0.00764552,-0.00761126,-0.00650021,-0.00527583,-0.00551541,-0.00747189,-0.00981378,-0.01116692,-0.01116397,-0.01017636,-0.00868061,-0.00696363,-0.00514499,-0.00326950,-0.00136072,0.00056169,0.00247850,0.00437054,0.00621891,0.00800515,0.00971140,0.01132061,0.01281672,0.01418476,0.01541108,0.01648341,0.01739105,0.01812492,0.01867769,0.01904384,0.01921972,0.01920355,0.01899551,0.01859767,0.01801401,0.01725036,0.01631435,0.01521533,0.01396429,0.01257372,0.01105752,0.00943083,0.00770991,0.00591196,0.00405494,0.00215741,0.00023831,-0.00168312,-0.00358716,-0.00545030,-0.00722915,-0.00881049,-0.00992448,-0.01012167,-0.00904418,-0.00701481,-0.00529814,-0.00513698,-0.00632313,-0.00742368,-0.00753225,-0.00713497
0.85000000,-0.07773186,-0.07766094,-0.07672882,-0.07420809,-0.07034964,-0.06666312,-0.06415772,-0.06213370,-0.05914706,-0.05441193,-0.04806223,-0.04061689,-0.03251643,-0.02401725,-0.01526207,-0.00635190,0.00262200,0.01156973,0.02040185,0.02903012,0.03736834,0.04533318,0.05284507,0.05982895,0.06621503,0.07193952,0.07694522,0.08118210,0.08460783,0.08718820,0.08889740,0.08971838,0.08964292,0.08867177,0.08681465,0.08409010,0.08052535,0.07615602,0.07102577,0.06518585,0.05869461,0.05161691,0.04402348,0.03599018,0.02759727,0.01892863,0.01007085,0.00111247,-0.00785678,-0.01674521,-0.02545142,-0.03383460,-0.04164724,-0.04846835,-0.05379908,-0.05749205,-0.06025265,-0.06341083,-0.06762604,-0.07197995,-0.07508390,-0.07668569,-0.07741676
0.90000000,-0.14815587,-0.14747995,-0.14552073,-0.14161032,-0.13540436,-0.12803184,-0.12096189,-0.11426016,-0.10672471,-0.09726117,-0.08566530,-0.07238154,-0.05796604,-0.04282452,-0.02721572,-0.01132713,0.00467577,0.02063206,0.03638221,0.05176885,0.06663822,0.08084177,0.09423757,0.10669179,0.11807997,0.12828834,0.13721489,0.14477044,0.15087949,0.15548100,0.15852900,0.15999302,0.15985845,0.15812663,0.15481486,0.14995623,0.14359928,0.13580754,0.12665886,0.11624464,0.10466894,0.09204743,0.07850621,0.06418058,0.04921368,0.03375505,0.01795916,0.00198393,-0.01401006,-0.02985677,-0.04536851,-0.06029007,-0.07422769,-0.08664391,-0.09709895,-0.10575097,-0.11358887,-0.12171977,-0.13009236,-0.13734896,-0.14243385,-0.14564240,-0.14755189
0.95000000,-0.21823624,-0.21696632,-0.21387071,-0.20849766,-0.20014398,-0.18939610,-0.17782323,-0.16620904,-0.15386345,-0.13959538,-0.12284272,-0.10385463,-0.08322882,-0.06151301,-0.03909895,-0.01627371,0.00671791,0.02964292,0.05227180,0.07437839,0.09574183,0.11614864,0.13539493,0.15328840,0.16965026,0.18431704,0.19714218,0.20799754,0.21677465,0.22338583,0.22776501,0.22986844,0.22967509,0.22718691,0.22242876,0.21544817,0.20631489,0.19512018,0.18197589,0.16701337,0.15038210,0.13224826,0.11279304,0.09221083,0.07070728,0.04849725,0.02580269,0.00285080,-0.02012607,-0.04288275,-0.06513305,-0.08649143,-0.10642414,-0.12434565,-0.13998804,-0.15383564,-0.16696691,-0.18001517,-0.19225764,-0.20222832,-0.20935614,-0.21426607,-0.21734074
